Accident_Severity,Latitude,Longitude,Number_of_Casualties,Number_of_Vehicles,Speed_limit,Day_of_Week_Friday,Day_of_Week_Monday,Day_of_Week_Saturday,Day_of_Week_Sunday,Day_of_Week_Thursday,Day_of_Week_Tuesday,Day_of_Week_Wednesday,Light_Conditions_Darkness - lighting unknown,Light_Conditions_Darkness - lights lit,Light_Conditions_Darkness - lights unlit,Light_Conditions_Darkness - no lighting,Light_Conditions_Daylight,Road_Type_Dual carriageway,Road_Type_One way street,Road_Type_Roundabout,Road_Type_Single carriageway,Road_Type_Slip road,Urban_or_Rural_Area_Rural,Urban_or_Rural_Area_Urban,Weather_Conditions_Fine + high winds,Weather_Conditions_Fine no high winds,Weather_Conditions_Fog or mist,Weather_Conditions_Other,Weather_Conditions_Raining + high winds,Weather_Conditions_Raining no high winds,Weather_Conditions_Snowing + high winds,Weather_Conditions_Snowing no high winds
3,54.044922,-2.79946,1.0,1.0,30,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2
3,52.749048,-1.252696,1.0,1.0,60,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2
3,52.50157,-2.01735,1.0,2.0,30,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2
2,53.722323,-1.871302,1.0,2.0,30,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,51.577578,-0.448307,1.0,2.0,30,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2
2,51.71787,0.671434,1.0,1.0,60,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2
3,53.54213,-1.524768,1.0,1.0,30,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,51.56488,0.199686,1.0,2.0,30,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,55.013004,-1.496745,1.0,1.0,30,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2
3,53.774123,-2.230452,1.0,1.0,40,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1
3,51.377061,0.539584,1.0,2.0,30,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,51.428442,-0.131133,1.0,1.0,30,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,51.209831,-4.116509,1.0,1.0,30,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,52.952882,-1.150947,1.0,1.0,30,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,52.214488,1.57732,1.0,1.0,30,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2
3,51.572637,0.184041,1.0,1.0,30,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,51.34843,0.524356,1.0,1.0,30,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,51.56091,-0.137104,1.0,2.0,30,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,51.072785,-1.320979,1.0,1.0,30,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2
3,51.891528,0.603527,1.0,1.0,60,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2
3,50.85819,-0.903113,1.0,1.0,70,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2
3,52.913774,-1.871481,1.0,1.0,30,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2
3,52.793247,-1.573605,1.0,2.0,40,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,53.403203,-1.376806,1.0,2.0,30,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,55.864261,-4.221406,1.0,2.0,30,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,51.452157,-0.101522,1.0,1.0,30,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,52.779101,-1.564848,1.0,2.0,30,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1
2,53.23932,-3.235848,1.0,1.0,60,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2
3,51.628261,-0.392397,1.0,1.0,30,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,51.472985,-0.121681,1.0,2.0,30,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,51.469336,0.26305,1.0,2.0,50,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2
3,51.441794,-0.013454,1.0,2.0,30,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,51.440163,-0.050218,1.0,2.0,30,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2
3,54.96514,-1.602929,1.0,2.0,40,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2
3,51.877158,-0.405326,1.0,2.0,30,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,55.792339,-4.385614,1.0,1.0,30,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,52.286077,-1.539788,1.0,2.0,30,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2
3,53.565082,-2.893812,1.0,2.0,40,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2
3,53.390583,-1.503451,1.0,1.0,30,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2
3,52.240965,-0.892776,1.0,1.0,30,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2
3,51.274769,-3.012668,1.0,1.0,30,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2
3,51.50467,-0.21577,1.0,1.0,30,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2
3,53.133334,-2.167969,1.0,1.0,40,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2
1,51.462204,-0.066986,1.0,1.0,30,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,53.707508,-1.623046,1.0,2.0,30,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,52.631474,-1.973667,1.0,2.0,30,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,51.347881,1.399173,1.0,2.0,30,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2
3,51.721136,0.468762,1.0,1.0,40,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,51.575397,-0.098411,1.0,2.0,30,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,51.490886,-0.105244,1.0,2.0,30,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,51.541772,0.003732,1.0,2.0,30,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2
2,51.489872,-0.043488,1.0,1.0,30,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2
2,51.427364,-0.131177,1.0,2.0,30,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,52.913768,-0.38015,1.0,1.0,60,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1
3,51.481829,-0.112388,1.0,2.0,30,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,53.03968,-2.21548,1.0,2.0,30,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2
3,53.61328,-2.142054,1.0,1.0,30,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,51.562108,0.125678,1.0,1.0,30,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
1,53.711856,-1.508312,1.0,2.0,30,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
2,52.392647,-2.276386,1.0,1.0,30,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,51.381254,0.569998,1.0,2.0,30,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,51.276497,-1.076693,1.0,2.0,30,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,52.95782,-0.433737,1.0,3.0,60,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2
3,52.952451,-1.140982,1.0,2.0,30,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2
3,50.928484,-1.57423,1.0,2.0,70,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2
3,54.110532,-3.226738,1.0,1.0,30,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,53.62594,-1.847251,1.0,2.0,30,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2
3,51.454124,-0.245089,1.0,1.0,30,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,53.490233,-2.323411,1.0,1.0,30,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,52.996623,-1.394447,1.0,2.0,30,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2
3,51.17864,0.781364,1.0,2.0,60,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2
3,50.689951,-3.505733,1.0,2.0,30,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2
3,55.861546,-4.161961,1.0,2.0,30,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,51.383788,0.544556,1.0,1.0,30,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,51.453964,0.707958,1.0,1.0,40,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2
2,55.183123,-1.569199,1.0,1.0,30,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2
3,52.161824,-0.697225,1.0,1.0,60,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2
3,53.444069,-2.309209,1.0,1.0,40,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2
3,56.303524,-3.682058,1.0,2.0,60,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2
3,51.296247,-0.327427,1.0,2.0,30,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2
3,50.243189,-5.280124,1.0,1.0,40,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2
3,54.106052,-3.251538,1.0,2.0,30,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,51.241471,0.005123,1.0,1.0,30,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,53.345654,-1.426615,1.0,2.0,30,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2
2,54.52534,-1.555139,1.0,1.0,30,2,2,2,2,1,2,2,2,2,2,2,1,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2
3,52.644277,-1.166247,1.0,2.0,30,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,51.462146,-2.52062,1.0,2.0,30,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,51.578248,-0.326907,1.0,2.0,30,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2
3,52.681063,-2.448164,1.0,1.0,30,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,50.12906,-5.609174,1.0,1.0,60,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2
3,51.487113,-0.179293,1.0,2.0,30,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,54.85384,-1.515862,1.0,1.0,30,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,55.939362,-3.997842,1.0,1.0,40,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2
3,51.581103,0.059013,1.0,2.0,30,2,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2
3,52.971641,-1.965122,1.0,2.0,40,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2
3,51.141715,-0.163325,1.0,2.0,30,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2
3,52.568727,-1.987869,1.0,2.0,30,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,53.527321,-1.141915,1.0,2.0,30,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
2,52.649857,-3.208517,1.0,1.0,60,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2
3,50.834635,-0.126552,1.0,2.0,30,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,54.048583,-2.892243,1.0,2.0,30,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,53.579668,-2.483741,1.0,2.0,40,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,51.393317,-0.305059,1.0,1.0,30,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
2,52.437855,-1.650596,1.0,1.0,30,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2
2,51.6415,-1.940718,1.0,1.0,50,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2
3,51.480398,0.177614,1.0,1.0,30,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2
3,50.851598,0.528402,1.0,2.0,30,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,53.730529,-2.664184,1.0,2.0,30,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,51.618903,5e-05,1.0,2.0,30,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2
2,53.7415,-2.473772,1.0,2.0,30,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,51.674618,0.140056,1.0,2.0,70,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2
3,51.5618,-0.296204,1.0,3.0,30,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,52.752542,0.409768,1.0,3.0,30,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,51.441196,-0.107733,1.0,2.0,30,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,52.417401,-1.926302,1.0,2.0,30,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,52.503956,-2.101179,1.0,2.0,30,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2
3,53.683501,-1.498347,1.0,1.0,30,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,52.579785,-1.992293,1.0,2.0,30,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,51.378811,-0.200695,1.0,1.0,30,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,52.455676,-1.895334,1.0,1.0,30,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2
3,51.513115,-0.073191,1.0,1.0,30,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
2,51.947934,-2.009861,1.0,2.0,60,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2
2,52.409266,-1.459562,1.0,1.0,30,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2
3,51.768036,0.096063,1.0,2.0,40,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,53.415869,-2.570802,1.0,1.0,30,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,51.505903,-0.144537,1.0,2.0,30,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,51.548201,0.704898,1.0,2.0,30,2,2,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2
3,55.005959,-1.670069,1.0,2.0,70,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2
3,51.608399,-3.020218,1.0,2.0,30,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,51.26545,0.522816,1.0,1.0,30,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,52.397326,-1.818314,1.0,3.0,30,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2
3,52.663031,-2.014605,1.0,2.0,30,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1
3,53.499392,-0.83674,1.0,1.0,60,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2
3,51.445826,0.208494,1.0,2.0,30,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2
3,51.522134,0.031845,1.0,2.0,30,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,51.571933,-1.801567,1.0,2.0,30,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,51.59891,-0.233448,1.0,2.0,50,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2
3,50.836987,-0.316206,1.0,2.0,40,2,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2
3,52.488725,0.351271,1.0,2.0,60,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2
3,51.380351,1.343077,1.0,2.0,40,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2
3,50.41896,-4.157491,1.0,2.0,30,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,53.203855,-1.200941,1.0,2.0,60,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2
3,52.242455,-0.898304,1.0,3.0,30,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,56.003926,-4.739521,1.0,1.0,30,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2
3,53.741881,-2.986563,1.0,2.0,30,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,51.599328,-3.78051,1.0,2.0,30,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,51.491013,-0.410339,1.0,2.0,30,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2
3,52.276403,-1.52611,1.0,1.0,30,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,53.335565,-2.725913,1.0,2.0,30,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,54.993086,-1.835852,1.0,1.0,70,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2
3,51.458168,-0.180014,1.0,2.0,30,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2
3,53.760545,-2.696816,1.0,1.0,30,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2
3,53.498017,-2.533916,1.0,2.0,30,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,50.703238,-3.528251,1.0,2.0,30,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2
3,53.492421,-1.164023,1.0,2.0,70,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2
2,53.398432,-2.817973,1.0,2.0,40,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2
3,51.446171,0.014654,1.0,2.0,30,2,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2
3,51.314134,0.35758,1.0,1.0,60,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2
3,51.526195,-0.206135,1.0,2.0,30,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2
2,52.442569,-1.833575,1.0,1.0,30,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2
3,53.893237,-1.930578,1.0,2.0,70,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2
3,53.57207,-1.462971,1.0,1.0,30,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,51.497524,-0.154962,1.0,2.0,30,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,51.831995,-2.102423,1.0,2.0,60,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2
3,52.032646,-1.153619,1.0,1.0,30,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
2,53.428165,-2.919684,1.0,1.0,40,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2
3,50.833212,-0.18441,1.0,1.0,30,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,53.589164,-1.3567,1.0,3.0,60,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2
3,52.530742,-1.463379,1.0,1.0,30,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,50.295897,-5.130534,1.0,2.0,30,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2
3,51.399979,-0.724163,1.0,1.0,40,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2
3,53.467266,-2.306817,1.0,2.0,30,2,2,2,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2
3,52.478299,-1.800754,1.0,2.0,30,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
3,53.686077,-1.850819,1.0,1.0,30,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2
3,52.164576,-2.890777,1.0,2.0,60,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2
3,51.386802,-0.091869,1.0,1.0,30,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2
